run,a,b,h,score_validation,score_test
0,0.01,0.0,0.0,0.8873071316410186,0.7931492299522039
0,0.01,0.0,0.25,0.8907541181650924,0.7964684014869888
0,0.01,0.0,0.5,0.8942895220189626,0.7993892724375996
0,0.01,0.0,0.75,0.8980902950747678,0.8040361125862985
0,0.01,0.0,1.0,0.9007421116933969,0.8057620817843866
0,0.01,0.0,1.25,0.9004770550582487,0.8074880509824748
0,0.01,0.0,1.5,0.899946668292014,0.807222517259692
0,0.01,0.0,1.75,0.9004770941290972,0.8077535847052576
0,0.01,0.0,2.0,0.9013610330019736,0.8084174190122145
0,0.01,0.25,0.0,0.88766068374766,0.7934147636749868
0,0.01,0.25,0.25,0.8909309137538373,0.7971322357939459
0,0.01,0.25,0.5,0.894377900277911,0.7992565055762082
0,0.01,0.25,0.75,0.8981786733337161,0.8036378120021243
0,0.01,0.25,1.0,0.9005653161046521,0.8061603823685608
0,0.01,0.25,1.25,0.9004770159874005,0.8070897503983006
0,0.01,0.25,1.5,0.9001234248099106,0.8073552841210834
0,0.01,0.25,1.75,0.9008306071648903,0.8074880509824748
0,0.01,0.25,2.0,0.9016261677788184,0.8088157195963888
0,0.01,0.5,0.0,0.8878374402655567,0.7940785979819437
0,0.01,0.5,0.25,0.8911960876015306,0.7968667020711631
0,0.01,0.5,0.5,0.8942011437600144,0.7993892724375996
0,0.01,0.5,0.75,0.8982670515926644,0.8037705788635157
0,0.01,0.5,1.0,0.9008304508814969,0.8066914498141264
0,0.01,0.5,1.25,0.9009189463529902,0.807222517259692
0,0.01,0.5,1.5,0.9003001813278072,0.8073552841210834
0,0.01,0.5,1.75,0.9014492940483766,0.807886351566649
0,0.01,0.5,2.0,0.9016261677788184,0.8084174190122145
0,0.01,0.75,0.0,0.8879258575953534,0.7943441317047265
0,0.01,0.75,0.25,0.8914612614492239,0.7966011683483802
0,0.01,0.75,0.5,0.894377900277911,0.7992565055762082
0,0.01,0.75,0.75,0.8988856994053025,0.8044344131704726
0,0.01,0.75,1.0,0.9009188291404453,0.8069569835369091
0,0.01,0.75,1.25,0.9012724984596318,0.807222517259692
0,0.01,0.75,1.5,0.9006537334344487,0.807222517259692
