run,model,train_size,fit,predict,score
1,BC (GPU),0.1,0.001081228256225586,0.02003955841064453,0.7717737652681891
1,BC (GPU),0.2,0.0010941028594970703,0.020676374435424805,0.8137280934678705
1,BC (GPU),0.3,0.0012116432189941406,0.020866870880126953,0.8325809877854488
1,BC (GPU),0.4,0.0012888908386230469,0.021229267120361328,0.8458576739245884
1,BC (GPU),0.5,0.001447916030883789,0.021500587463378906,0.8501062134891131
1,BC (GPU),0.6,0.0015192031860351562,0.021086931228637695,0.8604620286776421
1,BC (GPU),0.7,0.0016481876373291016,0.02142024040222168,0.8640467339352098
1,BC (GPU),0.8,0.0017693042755126953,0.021368026733398438,0.8632501327668614
1,BC (GPU),0.9,0.0018510818481445312,0.021425724029541016,0.8704195432819968
1,BC (GPU),1.0,0.0019752979278564453,0.021889209747314453,0.8726765799256505
2,BC (GPU),0.1,0.001033782958984375,0.01992034912109375,0.7715082315454063
2,BC (GPU),0.2,0.0010869503021240234,0.020130634307861328,0.8122676579925651
2,BC (GPU),0.3,0.0011665821075439453,0.020662784576416016,0.8315188528943176
2,BC (GPU),0.4,0.0013270378112792969,0.02092885971069336,0.8514338821030271
2,BC (GPU),0.5,0.001424551010131836,0.021366596221923828,0.852761550716941
2,BC (GPU),0.6,0.0015671253204345703,0.021573543548583984,0.8546202867764207
2,BC (GPU),0.7,0.0016880035400390625,0.021417856216430664,0.8613913967073819
2,BC (GPU),0.8,0.0017712116241455078,0.021514892578125,0.8677642060541689
2,BC (GPU),0.9,0.0018792152404785156,0.02152395248413086,0.8709506107275624
2,BC (GPU),1.0,0.001987934112548828,0.02163529396057129,0.8726765799256505
3,BC (GPU),0.1,0.0009646415710449219,0.01970386505126953,0.7624800849707913
3,BC (GPU),0.2,0.0011289119720458984,0.020190954208374023,0.8146574614976102
3,BC (GPU),0.3,0.0012443065643310547,0.020635366439819336,0.8305894848645778
3,BC (GPU),0.4,0.0013079643249511719,0.02131199836730957,0.846388741370154
3,BC (GPU),0.5,0.0014259815216064453,0.021386384963989258,0.8566117896972916
3,BC (GPU),0.6,0.0015184879302978516,0.02167820930480957,0.8600637280934679
3,BC (GPU),0.7,0.0016224384307861328,0.021357059478759766,0.8671003717472119
3,BC (GPU),0.8,0.0017194747924804688,0.021463632583618164,0.8644450345193839
3,BC (GPU),0.9,0.001852273941040039,0.021892547607421875,0.8725438130642592
3,BC (GPU),1.0,0.002031087875366211,0.02204155921936035,0.8726765799256505
4,BC (GPU),0.1,0.0009751319885253906,0.01961541175842285,0.7677907594264471
4,BC (GPU),0.2,0.0010805130004882812,0.020236730575561523,0.8097450876261285
4,BC (GPU),0.3,0.0012292861938476562,0.02080821990966797,0.8362984599044079
4,BC (GPU),0.4,0.0013275146484375,0.02111959457397461,0.8390865639936272
4,BC (GPU),0.5,0.0014193058013916016,0.02102947235107422,0.8555496548061604
4,BC (GPU),0.6,0.0015709400177001953,0.021233320236206055,0.8591343600637281
4,BC (GPU),0.7,0.0016713142395019531,0.02134561538696289,0.8628518321826872
4,BC (GPU),0.8,0.0017294883728027344,0.021396160125732422,0.8661710037174721
4,BC (GPU),0.9,0.0018742084503173828,0.021584033966064453,0.869490175252257
4,BC (GPU),1.0,0.0020012855529785156,0.021726369857788086,0.8726765799256505
5,BC (GPU),0.1,0.0009329319000244141,0.019518613815307617,0.7590281465746149
5,BC (GPU),0.2,0.0010645389556884766,0.020028352737426758,0.8133297928836962
5,BC (GPU),0.3,0.0012545585632324219,0.020183801651000977,0.8366967604885821
5,BC (GPU),0.4,0.0013232231140136719,0.02073526382446289,0.8446627721720659
5,BC (GPU),0.5,0.00140380859375,0.02103137969970703,0.8531598513011153
5,BC (GPU),0.6,0.0015125274658203125,0.021049022674560547,0.8604620286776421
5,BC (GPU),0.7,0.0015702247619628906,0.021087169647216797,0.8629845990440786
5,BC (GPU),0.8,0.0018148422241210938,0.021897077560424805,0.8667020711630377
5,BC (GPU),0.9,0.0018367767333984375,0.02141118049621582,0.8706850770047796
5,BC (GPU),1.0,0.0020110607147216797,0.021788597106933594,0.8726765799256505
