epoch,score,loss,model,run
1.0,0.7749,0.7467491928927633,Born,0
2.0,0.8007,0.6615562267928551,Born,0
3.0,0.8137,0.6175010519283078,Born,0
4.0,0.8215,0.6059163747674023,Born,0
5.0,0.8217,0.6090942209041045,Born,0
6.0,0.8278,0.5781924425658237,Born,0
7.0,0.8301,0.5776404743943963,Born,0
8.0,0.8282,0.5694010451282124,Born,0
9.0,0.8309,0.5649554445261817,Born,0
10.0,0.8318,0.5623368725276375,Born,0
1.0,0.7711,0.694041982954242,SoftMax,0
2.0,0.7993,0.5976436341015157,SoftMax,0
3.0,0.8136,0.5575863402104299,SoftMax,0
4.0,0.8212,0.5293575449708066,SoftMax,0
5.0,0.8277,0.5130306483711424,SoftMax,0
6.0,0.8285,0.5012220142695287,SoftMax,0
7.0,0.8323,0.49115087303939736,SoftMax,0
8.0,0.8354,0.48518800366662074,SoftMax,0
9.0,0.8365,0.47731108764096064,SoftMax,0
10.0,0.8364,0.4798494643731532,SoftMax,0
1.0,0.57,1.697004279634143,BC,0
2.0,0.57,1.697004279634143,BC,0
3.0,0.57,1.697004279634143,BC,0
4.0,0.57,1.697004279634143,BC,0
5.0,0.57,1.697004279634143,BC,0
6.0,0.57,1.697004279634143,BC,0
7.0,0.57,1.697004279634143,BC,0
8.0,0.57,1.697004279634143,BC,0
9.0,0.57,1.697004279634143,BC,0
10.0,0.57,1.697004279634143,BC,0
1.0,0.7251,0.8438702694423359,BC+Born,0
2.0,0.7404,0.8113568026081167,BC+Born,0
3.0,0.7774,0.7541834445487439,BC+Born,0
4.0,0.692,0.8004414883569271,BC+Born,0
5.0,0.7701,0.7422584772694276,BC+Born,0
6.0,0.7857,0.6905795212826871,BC+Born,0
7.0,0.7875,0.6781143542143574,BC+Born,0
8.0,0.7807,0.7346405483506286,BC+Born,0
9.0,0.7842,0.6961783107068018,BC+Born,0
10.0,0.7852,0.6753725702309097,BC+Born,0
1.0,0.8058,0.6272358492260532,CNN+Born,0
2.0,0.832,0.5526731690285731,CNN+Born,0
3.0,0.8431,0.5259705010996092,CNN+Born,0
4.0,0.8514,0.49587638454234084,CNN+Born,0
5.0,0.8563,0.47800056391547296,CNN+Born,0
6.0,0.8615,0.4650351083411148,CNN+Born,0
7.0,0.864,0.4539462434863576,CNN+Born,0
8.0,0.8649,0.4493714138422573,CNN+Born,0
9.0,0.8673,0.44225717184171454,CNN+Born,0
10.0,0.8718,0.43146850704844675,CNN+Born,0
1.0,0.8033,0.5500927586753305,CNN+SoftMax,0
2.0,0.8225,0.49223195924025676,CNN+SoftMax,0
3.0,0.8341,0.4614029742500527,CNN+SoftMax,0
4.0,0.84,0.4450317841750586,CNN+SoftMax,0
5.0,0.849,0.4247223386839063,CNN+SoftMax,0
6.0,0.8484,0.42896631253519124,CNN+SoftMax,0
7.0,0.8555,0.4106688468872032,CNN+SoftMax,0
8.0,0.8615,0.39705981754933134,CNN+SoftMax,0
9.0,0.8617,0.39417842962681154,CNN+SoftMax,0
10.0,0.8648,0.38414283834386276,CNN+SoftMax,0
