,acq,crude,earn,grain,interest,money-fx,ship,trade
0,stake,oil,vs,grain,rate,stg,port,trade
1,acquisition,crude,cts,crop,prime,money,shipping,deficit
2,shares,opec,loss,elevator,7-3/4,currencies,strike,gatt
3,merger,bpd,shr,crops,7-1/2,shortage,seamen,surplus
4,cyclops,barrels,net,usda,base,fed,ships,sanctions
5,acquire,barrel,revs,minus,rates,assistance,canal,nakasone
6,usair,dlrs/bbl,profit,tonnes,5.00,england,vessel,tariffs
7,undisclosed,wti,div,harvest,lending,miyazawa,cargo,baldrige
8,twa,ecuador,qtr,soviet,discount,revised,vessels,yeutter
9,inc,postings,qtly,certificates,fed,band,employers,semiconductors
